CDUID	P65	P80	SR65	SR80	ODR	S65
2455	13.91146	3.64248	92.81553	65.6051	20.24465	0.1004
2456	14.91552	3.51571	82.30893	54.51056	21.80249	0.34489
2457	12.66132	2.78746	85.57994	59.26829	18.56945	0.29898
2458	16.45339	3.82739	76.12981	53.51759	24.11273	1.32788
2459	10.39427	2.00226	86.50602	52.82051	14.90941	0.15642
2460	13.93107	3.08328	81.56607	59.82721	20.06852	0.33761
2461	19.0949	5.31856	73.0057	51.45414	28.76956	0.24539
2462	20.57921	3.90783	99.51028	69.73684	31.13352	0.20606
2463	12.96044	2.51147	96.87011	64.42953	18.71083	0.12679
2464	9.45818	1.58588	87.35862	57.66667	13.38691	0.28462
2465	15.58574	4.17504	75.67719	57.04918	23.20972	1.26559
2466	15.65269	4.85401	68.39644	50.62916	22.65237	5.97125
2467	12.28828	2.5896	83.85609	64.0625	17.82488	0.40302
2468	14.61843	3.31631	89.85149	56.25	21.61172	0.07755
2469	19.31877	4.812	89.17051	66.12903	29.09414	0.08281
2470	19.79015	5.1816	74.78632	52.49406	29.75006	0.24792
2471	11.57492	2.46138	85.98616	55.90909	16.88828	0.32618
2472	12.35497	2.66019	78.08735	52.69461	17.69329	0.23902
2473	11.39519	2.42955	81.25968	56.48536	16.40362	0.3552
2474	8.47296	1.44195	89.83957	77.94118	12.27555	0.07189
2475	14.89602	3.33869	82.25292	57.90554	21.64259	0.34691
2476	18.82181	4.35906	85.14548	58.75706	28.14901	0.12224
2477	22.05499	4.41348	100.22523	76.61692	33.25855	0.17987
2478	19.33255	3.88644	93.24474	66.66667	28.81664	0.17654
2479	20.13709	3.92503	103.01291	68.29268	30.16617	0.14317
2480	21.09489	4.59163	98.12109	66.12903	31.84863	0.09616
2481	11.71664	2.86981	73.07906	49.41061	16.53855	0.6287
2482	9.66741	1.56274	108.35267	59.34066	13.64881	0.0907
2483	19.43497	3.87238	93.47826	72.34043	29.0393	0.08069
2484	19.98886	4.94498	88.19672	61.36364	30.84363	0.05804
2485	16.74277	4.17047	86.77966	57.47126	25.46296	0.05561
2486	14.83712	3.80376	80.92399	60.62176	21.49797	0.12305
2487	17.4975	4.61839	85.82278	61.66667	26.52472	0.07432
2488	14.39189	3.59284	86.4	55.35714	21.0321	0.07088
2489	13.59101	3.17046	82.44514	55.17241	19.76271	0.11789
2490	17.05221	3.86649	87.63636	58.10811	26.32653	0.05217
2491	17.60276	4.01632	79.68	53.29341	26.34421	0.11345
2492	18.35516	4.58879	88.5947	60.41667	27.66021	0.09383
2493	17.57426	4.44593	81.87192	66.19217	26.29255	0.18665
2494	17.37778	4.34293	76.32791	51.79704	25.44085	0.58057
2495	18.83769	4.24389	97.27273	73.21429	27.9025	0.04398
2496	15.32238	3.42059	89.01734	67.93893	22.07471	0.09919
2497	12.5443	2.53165	88.57143	60	18.19016	0.1002
2498	13.79399	3.75811	87.7907	66.03774	20.1623	0.03266
2499	6.45858	0.92769	97.49104	79.54545	9.92601	0.05561
3501	18.72908	5.13655	82.34779	57.95297	28.51664	0.42102
3502	14.21276	3.42582	85.62691	55.85106	20.62373	0.24539
3506	13.19631	3.69485	76.74524	56.49569	18.85595	2.35738
3507	19.63124	5.19103	83.77358	57.73354	30.02002	0.39423
3509	18.51767	5.11673	82.84424	57.51174	28.02166	0.2459
3510	16.6424	4.60471	79.31655	60.1626	24.27549	0.50393
3511	18.12357	4.4233	90.33877	61.57205	27.31039	0.15328
3512	18.47199	5.00245	81.17048	57.96253	28.06079	0.50403
3513	25.21973	6.31483	89.30163	73.36957	40.27822	0.12881
3514	21.77751	5.66812	86.93152	64.60177	33.94382	0.36167
3515	20.04699	5.92146	80.33989	59.9	30.52014	0.547
3516	21.8674	5.94149	88.24221	64.46125	34.05296	0.32375
3518	12.10444	3.18849	78.88214	57.25872	17.46403	1.48854
3519	11.71256	2.85466	84.54143	63.16081	16.8103	2.44554
3520	14.43351	4.38212	74.42984	60.66597	20.54944	7.63268
3521	10.47644	2.35385	83.93582	62.72994	14.99476	2.74736
3522	12.4822	3.19966	84.06736	56.89655	18.21914	0.14358
3523	14.11259	3.9259	80.70068	62.04163	20.85757	0.59463
3524	13.28864	3.62191	79.25518	61.55556	19.80688	1.3481
3525	15.68904	4.71392	77.29841	58.64078	23.132	1.64961
3526	18.79234	5.55239	78.87013	59.56029	28.58957	1.63919
3528	17.73768	4.73341	84.37351	61.40625	26.84094	0.3914
3529	15.20197	4.3996	77.19674	58.33333	22.79918	0.41819
3530	12.5351	3.47666	78.44211	57.83348	18.13345	1.28541
3531	16.52865	5.2921	75.60113	57.85288	25.35485	0.25106
3532	16.58169	4.72006	79.15176	60.96774	25.44636	0.35449
3534	15.61267	4.06467	82.80936	55.79869	23.91	0.27613
3536	17.90055	5.15013	77.39172	53.72493	27.50221	0.37674
3537	15.21161	4.27103	79.82363	59.00383	22.64556	1.19593
3538	18.74024	5.24172	80.77217	59.58987	28.53695	0.47825
3539	14.84569	4.34133	76.37987	58.28144	21.6476	1.31837
3540	19.83926	5.56684	83.69906	59.56416	31.44696	0.2371
3541	20.05234	4.90908	88.68327	61.04218	30.90824	0.26804
3542	21.0872	5.81194	85.89805	63.87195	33.0148	0.39473
3543	15.66034	4.06333	82.20107	61.46993	23.29626	1.41261
3544	21.741	5.7798	86.20944	63.65854	33.63539	0.2552
3546	27.92788	6.07894	98.32636	83.03571	45.32888	0.09616
3547	18.17401	5.10234	80.59775	57.68645	27.49944	0.37239
3548	17.65483	4.46681	80.40989	57.05394	26.21342	0.30252
3549	22.56772	5.15867	97.3029	69.53125	35.10422	0.19241
3551	20.42459	4.48345	93.11594	66.19718	32.59939	0.05389
3552	17.83355	3.27892	102.40642	60.91954	26.24089	0.07644
3553	16.07784	4.21198	78.16926	61.26341	23.53075	0.52142
3554	19.22841	4.9335	83.35766	56.79612	29.37047	0.12689
3556	15.17468	3.7721	84.20659	59.53003	22.38385	0.24893
3557	20.74739	5.37672	84.74837	67.69852	31.82209	0.48614
3558	16.68527	4.83373	82.13084	59.79615	24.47893	0.49281
3559	17.30486	5.30191	81.95876	68.21705	26.87762	0.07128
3560	13.20152	3.22877	89.65087	67.11712	19.90056	0.15379
4601	23.62818	4.78911	107.86802	88.63636	38.05762	0.08281
4602	10.34815	2.72279	87.77778	62.55708	16.05935	0.1368
4603	13.42746	4.62512	77.90698	59.59596	21.75422	0.13943
4604	18.37524	5.58779	81.48148	67.74194	29.92126	0.03458
4605	22.24888	7.46788	86.08414	72.32143	36.6242	0.05814
4606	17.50623	6.08479	76.5	62.66667	28.03514	0.03549
4607	14.16422	4.6333	75.72254	59.62567	21.14916	0.18422
4608	16.13931	5.27359	88.79668	62.63736	26.87095	0.04611
4609	15.32632	4.55532	78.41191	58.08824	23.94413	0.0728
4610	9.79106	1.6865	103.92157	61.90476	14.67697	0.02113
4611	14.37394	4.55512	71.19764	50.64484	20.89806	1.93828
4612	13.62803	3.2524	94.44444	74.07407	20.08778	0.06016
4613	15.11048	3.52969	89.79866	65	22.20307	0.14327
4614	13.35352	3.43299	86.03774	54.87805	19.49487	0.04995
4615	20.41289	6.92001	83.02277	63.93443	32.58219	0.08918
4616	20.59831	7.50403	81.69643	63.33333	33.94191	0.04135
4617	21.83898	7.27215	82.48588	60.69652	36.47988	0.09808
4618	21.64558	5.56053	94.26386	70.12987	35.61164	0.10273
4619	5.97448	0.84107	107	123.07692	9.7723	0.02083
4620	21.95539	7.13424	92.07048	73.17073	36.53846	0.04419
4621	10.16688	2.24372	86.32479	52.38095	15.61378	0.04398
4622	4.3252	0.52538	94.53552	69.23077	6.90597	0.03579
4623	4.8312	0.75669	102.5641	100	7.87476	0.00839
4701	15.09591	5.21814	83.49515	64.64646	22.92222	0.09565
4702	18.61583	6.60199	81.40044	64.60674	29.67072	0.08382
4703	22.57505	8.31298	84.78964	64.0625	36.56669	0.05794
4704	18.98152	5.88289	89.49772	69.73684	30.10204	0.04176
4705	20.51114	6.90474	84.81013	65.29851	33.31642	0.13276
4706	13.55859	4.18724	75.17673	56.56963	19.77607	0.65186
4707	18.58601	6.76342	79.77178	61.79487	28.85191	0.17532
4708	19.05747	6.80862	80.37975	63.2	29.75508	0.11547
4709	22.66806	8.02798	79.3722	61.53846	37.47659	0.16188
4710	21.03043	7.58008	83.37469	62.19512	35.27725	0.07462
4711	12.61386	4.04543	73.36543	53.71148	18.14589	0.69169
4712	16.51025	4.95092	88.88889	67.88321	25.75554	0.07755
4713	15.76508	5.4788	82.66332	59.1195	24.50353	0.07361
4714	20.52695	6.70789	84.19783	62.54072	33.83559	0.15439
4715	15.38967	4.56256	85.00717	64.51613	24.18129	0.26056
4716	15.90699	4.88836	86.80124	68.03653	25.721	0.12174
4717	10.8986	2.71616	98.35052	74.45255	16.82684	0.09737
4718	5.44355	0.94373	102.53807	84.21053	8.80336	0.04024
4801	14.69616	4.30783	79.72028	59.90566	22.13397	0.23387
4802	13.28768	3.92561	81.27178	61.41732	19.98943	0.42062
4803	17.73583	4.47285	89.87517	68.78049	29.094	0.13832
4804	16.62036	5.65588	90.39548	66.66667	25.78907	0.03387
4805	14.12801	3.82066	91.33758	68.46473	21.63911	0.15217
4806	10.03149	2.65823	81.2401	60.4603	14.02012	2.65949
4807	15.69646	4.63561	89.78979	74.29907	24.15838	0.1277
4808	11.5143	3.09919	82.1145	60.68493	16.6986	0.44064
4809	12.68201	2.81822	100.37175	87.5	19.13536	0.0546
4810	15.90731	4.79906	84.65377	64.0367	24.4709	0.29929
4811	11.51386	3.1593	80.34761	60.14325	16.28365	2.80125
4812	11.2728	2.68813	94.30122	72.36181	16.87316	0.14459
4813	15.04665	3.53313	99.42363	77.45455	22.86155	0.2097
4814	10.93269	2.39645	102.5974	75.64103	15.64456	0.06319
4815	10.0742	2.64014	86.59794	62.93103	13.42096	0.0733
4816	1.90325	0.20736	103.2	50	2.40659	0.02599
4817	7.99135	1.44706	108.05085	89.3617	12.51592	0.09939
4818	9.8734	1.7201	104.28571	85.18519	14.53165	0.02902
4819	8.90969	2.38807	87.70413	68.1672	12.79115	0.19767
5901	16.57405	4.11043	92.51282	64.53901	24.52042	0.18999
5903	19.47263	4.97938	93.28802	70.67449	29.64314	0.23013
5905	21.56529	5.81283	90.24045	69.62617	33.51635	0.13579
5907	27.5631	8.45285	86.0786	69.68944	45.75923	0.45004
5909	15.49931	4.3589	84.9162	66.71261	23.54825	0.87005
5915	13.52575	3.7606	81.82584	62.57709	19.00971	6.32736
5917	18.7963	6.21266	78.31357	59.01173	27.56886	1.36832
5919	19.81153	5.2781	91.12178	74.12731	30.56169	0.32183
5921	23.39433	6.44726	89.02977	70.20702	36.78395	0.69341
5923	17.93246	4.2497	97.51332	77.7027	27.00606	0.11264
5924	16.77379	3.56053	99.17808	77.58621	24.87571	0.14671
5926	21.38091	5.36687	90.60309	69.47891	33.24361	0.27472
5927	22.4053	5.80227	92.02586	64.7482	34.81655	0.09019
